,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-02-15,37.6323881520848,37.65303465558602,34.06938435750443,36.997085799032185,37.456080676329066,34.019767684855836,37.557647705078125,False,35.45766436919628,38.537308223537345,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-16,37.85661227998849,39.75173995583432,35.562984916978564,37.44553129961443,39.074023501557015,35.32377637071512,37.63238525390625,False,34.06938435750443,37.456080676329066,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-17,37.59501382080877,39.98602966125988,35.996876583693044,36.92234131775154,39.25866136994818,35.681051799380505,36.9970817565918,False,35.562984916978564,39.074023501557015,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-18,38.23031715687086,39.534352059348585,35.75244930688083,37.81923620909592,38.584032818606886,35.20667034467874,38.080833435058594,False,35.996876583693044,39.25866136994818,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-19,37.6323881520848,40.0859569443871,36.3836842901213,37.25868021472084,39.700679516282186,36.20711751731932,37.557647705078125,False,35.75244930688083,38.584032818606886,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-22,38.305057003915906,39.27605947248119,35.81772351019385,36.32440413544263,38.87388842155987,35.54581759440311,36.7354850769043,False,36.3836842901213,39.700679516282186,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-23,37.146563167201165,40.1435258349209,36.66304502457861,36.399147420783294,37.91789455726889,34.68499587453611,36.7354850769043,False,35.81772351019385,38.87388842155987,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-24,36.511261510209614,39.0169620930681,35.4719285448321,36.17492667358171,38.006043611507806,34.937631388950884,36.39915084838867,False,36.66304502457861,37.91789455726889,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-25,35.95068886037794,38.058475382244055,34.687918261765226,35.614354124669404,37.62413782749212,34.73247342651641,35.68909454345703,False,35.4719285448321,38.006043611507806,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-26,37.2213083059248,37.63960033261287,34.43055777856665,36.54863575982587,36.983094466805895,34.21635017350061,37.034454345703125,False,34.687918261765226,37.62413782749212,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-02-29,37.52027383008956,38.93202327937481,35.468395180437305,36.884968687699754,38.15764097309994,35.19707247237999,37.109195709228516,False,34.43055777856665,36.983094466805895,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-01,37.48290827823358,39.39165293476189,36.08330548094435,36.69811930747764,38.31162673576733,35.48338726781979,37.408164978027344,False,35.468395180437305,38.15764097309994,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-02,38.34242541977091,38.96903836216741,35.86536656038302,37.70712320562658,38.02238132320651,35.3561131094333,38.043460845947266,False,36.08330548094435,38.31162673576733,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-03,38.56753944866913,40.02922929602499,36.79370650353228,38.18147799862322,39.28139743898529,36.36855977768956,38.33590316772461,False,35.86536656038302,38.02238132320651,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-04,38.87639019565323,40.1178460687311,37.04425946858591,38.33590647528893,39.612172804426024,36.79110668554658,38.79917907714844,False,36.79370650353228,39.28139743898529,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-07,39.03081201055817,40.44794192416438,37.49046014094488,38.14287244270166,39.69208955368967,37.00665693421779,38.33590316772461,False,37.04425946858591,39.612172804426024,0,0,0.0,0.0,0.0,0.0,0,0.0
