,High,Phat_High,Low,Phat_Low,Close,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2021-01-28,40.89386075697094,41.80833801225111,39.83418255619787,40.79689943154954,40.026851654052734,41.27385718403716,40.32677614191076,0,1,0.0,40.32677614191076,-40.32677614191076,520.7765524931988,-6,280.6154425688824
2021-01-29,40.364024199017415,40.94787266374511,39.304345979735835,39.74334148288833,39.448848724365234,41.80833801225111,40.79689943154954,0,1,0.0,40.364024199017415,-40.364024199017415,480.41252829418136,-5,283.1682846723552
2021-02-01,39.641518013840376,40.260446941862334,38.63000614634584,39.28162592272849,39.25617980957031,40.94787266374511,39.74334148288833,0,1,0.0,39.641518013840376,-39.641518013840376,440.771010280341,-4,283.74629104205974
2021-02-02,39.593347794137195,39.586232253005385,39.063510521925124,38.58411511763804,39.448848724365234,40.260446941862334,39.28162592272849,0,1,0.0,39.28162592272849,-39.28162592272849,401.4893843576125,-3,283.1428381845168
2021-02-03,39.93051912605665,39.50619164491609,39.11167637512479,39.11756401465072,39.83418273925781,39.586232253005385,38.58411511763804,1,0,39.586232253005385,0.0,39.586232253005385,441.0756166106179,-4,281.73888565358664
2021-02-04,40.653027892638725,40.026011316703205,39.208015078977574,39.10106964777646,39.49701690673828,39.50619164491609,39.11756401465072,1,0,39.50619164491609,0.0,39.50619164491609,480.581808255534,-5,283.0967237218426
2021-02-05,40.84569623653524,40.661041992698024,39.88235437883259,39.21246342770079,40.171356201171875,40.026011316703205,39.10106964777646,1,0,40.026011316703205,0.0,40.026011316703205,520.6078195722372,-6,279.57968236520594
2021-02-08,40.41219003547867,40.87016184236865,39.5933472845468,39.93589048752527,39.83418273925781,40.661041992698024,39.21246342770079,0,0,0.0,0.0,0.0,520.6078195722372,-6,281.6027231366903
2021-02-09,40.36402530768392,40.33205427706661,39.737851630234175,39.54718371362756,40.171356201171875,40.87016184236865,39.93589048752527,0,1,0.0,39.93589048752527,-39.93589048752527,480.6719290847119,-5,279.81514807885253
2021-02-10,41.423698798656865,40.32500310381685,40.701192424261684,39.755943012447986,41.038360595703125,40.33205427706661,39.54718371362756,1,0,40.701192424261684,0.0,40.701192424261684,521.3731215089736,-6,275.1429579347548
2021-02-16,44.07289123535156,41.48971402987965,42.3388765774568,40.77882248565102,44.07289123535156,40.32500310381685,39.755943012447986,1,0,42.3388765774568,0.0,42.3388765774568,563.7119980864304,-7,255.20175943896948
2021-02-17,44.98806639017872,44.31053471192282,43.880221761702735,42.453687278656034,44.36189270019531,41.48971402987965,40.77882248565102,1,0,43.880221761702735,0.0,43.880221761702735,607.5922198481331,-8,252.69707824657064
2021-02-18,45.084400721782366,45.16242504021968,43.97655972850755,43.96881744312879,44.699066162109375,44.31053471192282,42.453687278656034,1,0,44.31053471192282,0.0,44.31053471192282,651.902754560056,-9,249.61115910107162
2021-02-19,44.024725073887836,45.015738222583614,43.157715903616,43.939960936902146,43.88022232055664,45.16242504021968,43.96881744312879,0,1,0.0,43.96881744312879,-43.96881744312879,607.9339371169272,-8,256.89215855247403
2021-02-22,45.084396710215,43.93313335018897,44.121054884463156,43.0817750085227,44.79539489746094,45.015738222583614,43.939960936902146,1,0,45.015738222583614,0.0,45.015738222583614,652.9496753395108,-9,249.79112126236237
2021-02-23,47.68542422169354,45.07677561201706,44.79539851128787,44.22775771138393,44.988067626953125,43.93313335018897,43.0817750085227,1,0,44.79539851128787,0.0,44.79539851128787,697.7450738507987,-10,247.86439758126744
2021-02-24,44.89172798476712,48.090154225239196,43.92838615097506,44.82548971555041,44.410057067871094,45.07677561201706,44.22775771138393,0,1,0.0,44.22775771138393,-44.22775771138393,653.5173161394148,-9,253.82680252857494
2021-02-25,46.52941019573295,44.867042262663354,45.51790199742826,43.83239296894532,45.90324020385742,48.090154225239196,44.82548971555041,0,0,0.0,0.0,0.0,653.5173161394148,-9,240.388154304698
2021-02-26,45.9032385793508,46.42533680618743,44.7472276758318,45.6821060622373,45.56606674194336,44.867042262663354,43.83239296894532,1,0,44.867042262663354,0.0,44.867042262663354,698.3843584020782,-10,242.7236909826446
2021-03-01,44.98806437306081,46.00312350429149,43.68755069252705,44.63572531990783,44.410057067871094,46.42533680618743,45.6821060622373,0,1,0.0,44.98806437306081,-44.98806437306081,653.3962940290173,-9,253.70578041817748
2021-03-02,44.217390875685936,44.80206979575593,42.86871086177696,43.61592526537022,43.3985481262207,46.00312350429149,44.63572531990783,0,1,0.0,44.217390875685936,-44.217390875685936,609.1789031533314,-8,261.99051814356574
