,High,Low,Close,r_Close,rhat_Close,Order,Order_Price,Order_Success,Trade_Price,Transaction,Cash,Position,Balance
2016-04-11,35.903713450845274,35.32462129841229,35.67207717895508,0.004338243051540248,-9.908483476186913e-05,-1.0,35.51765823364258,1,35.51765823364258,35.51765823364258,-373.2260818330019,10.0,-16.505310043451118
2016-04-12,35.672080417620094,35.44044412469966,35.47904968261719,-0.0054258584062349775,-1.1680228998149351e-05,-1.0,35.67207717895508,1,35.67207717895508,35.67207717895508,-337.5540046540468,9.0,-18.242557510492134
2016-04-13,37.13910756722415,36.05813735435778,37.100502014160156,0.04468812841180907,0.00036577381224559534,-1.0,35.47904968261719,1,36.05813735435778,36.05813735435778,-301.49586729968905,8.0,-4.691851186407803
2016-04-14,38.220091683524,37.756819023102125,37.83403015136719,0.019578465280726588,-0.0006353647942859094,1.0,37.100502014160156,0,0.0,-0.0,-301.49586729968905,8.0,1.1763739112484473
2016-04-15,38.142872626967204,37.91123339948853,38.06565856933594,0.006103559604842777,-0.0006950892440718494,-1.0,37.83403015136719,1,37.91123339948853,37.91123339948853,-263.5846339002005,7.0,2.8749760851510473
2016-04-18,37.91123828358664,37.370754537613,37.7954216003418,-0.007124552180751594,0.0009614176737955206,-1.0,38.06565856933594,0,0.0,0.0,-263.5846339002005,7.0,0.9833173021920629
2016-04-19,39.22383962268196,38.22008052130638,39.18523406982422,0.03611202033609378,0.0019433929932122123,1.0,37.7954216003418,0,0.0,-0.0,-263.5846339002005,7.0,10.712004588569016
2016-04-20,39.26244681504723,38.683354661755,39.10802459716797,-0.0019723153436124446,0.0007232230945841175,1.0,39.18523406982422,1,39.18523406982422,-39.18523406982422,-302.76986797002473,8.0,10.094328807319016
2016-04-21,40.84530258178711,39.880148956937845,40.84530258178711,0.04346414421790205,0.0007949115189049735,1.0,39.10802459716797,0,0.0,-0.0,-302.76986797002473,8.0,23.99255268427214
2016-04-22,40.497844919448205,40.1117834863656,40.26620864868164,-0.014279200666942432,-0.0013351009534040865,1.0,40.84530258178711,1,40.497844919448205,-40.497844919448205,-343.26771288947293,9.0,19.128164948661833
2016-04-25,40.30481543391233,39.687117711197196,39.72572326660156,-0.013513703054999028,0.0010551324176929927,-1.0,40.26620864868164,1,40.26620864868164,40.26620864868164,-303.0015042407913,8.0,14.804281892021208
2016-04-26,40.38202367399782,39.416870130425146,40.34341812133789,0.015429342646971591,-0.0012332665784115754,1.0,39.72572326660156,1,39.72572326660156,-39.72572326660156,-342.72722750739285,9.0,20.36353558464816
2016-04-27,41.07694212502722,40.53645546310278,40.65227508544922,0.007626540348363275,0.00021305640992473577,-1.0,40.34341812133789,1,40.53645546310278,40.53645546310278,-302.19077204429004,8.0,23.027428639303707
2016-04-28,41.269970854175995,40.18899758300467,40.30481719970703,-0.008583806788847454,-0.002941506194109271,1.0,40.65227508544922,1,40.65227508544922,-40.65227508544922,-342.84304712973926,9.0,19.90030766762402
2016-04-29,40.304818220407874,39.84154268728141,39.995967864990234,-0.007692349642877841,-0.0009323596526759794,-1.0,40.30481719970703,1,40.30481719970703,40.30481719970703,-302.53822993003223,8.0,17.429512989889645
2016-05-03,40.99972342291296,39.30105545678972,39.76432800292969,-0.005808416600999432,-0.0008041977354807063,-1.0,39.995967864990234,1,39.995967864990234,39.995967864990234,-262.542262065042,7.0,15.808033955465817
2016-05-04,39.22384005865639,38.60614236982222,38.721961975097656,-0.02656329708757437,0.0006357405799748867,-1.0,39.76432800292969,0,0.0,0.0,-262.542262065042,7.0,8.511471760641598
2016-05-05,38.56753417558257,38.02704763033247,38.18147277832031,-0.014056539813078119,-0.0025311511014497854,1.0,38.721961975097656,1,38.56753417558257,-38.56753417558257,-301.1097962406246,8.0,4.341985985937924
2016-05-06,38.104264793581336,37.3321418762207,37.3321418762207,-0.022495724068119803,0.0005751067671757283,-1.0,38.18147277832031,0,0.0,0.0,-301.1097962406246,8.0,-2.4526612308589506
2016-05-09,37.9884481728586,37.370750427246094,37.370750427246094,0.001033656215241039,-0.0014277513773394814,1.0,37.3321418762207,0,0.0,-0.0,-301.1097962406246,8.0,-2.1437928226558256
2016-05-10,37.756810823598734,37.33214087411761,37.6409912109375,0.0072053240454340965,-0.0004630737388684011,-1.0,37.370750427246094,1,37.370750427246094,37.370750427246094,-263.7390458133785,7.0,-0.25210733681598185
2016-05-11,37.718205829464274,37.21632766723633,37.21632766723633,-0.011346067578927943,-0.00015350161873070389,-1.0,37.6409912109375,1,37.6409912109375,37.6409912109375,-226.09805460244098,6.0,-2.800088599023013
2016-05-12,37.37074230602178,36.67583065233798,36.907466888427734,-0.00833369549419675,-0.0008511743315910735,-1.0,37.21632766723633,1,37.21632766723633,37.21632766723633,-188.88172693520465,5.0,-4.344392493065982
2016-05-13,36.83026992203774,36.32838876344337,36.521419525146484,-0.010514960502730382,-3.79597836012748e-05,-1.0,36.907466888427734,0,0.0,0.0,-188.88172693520465,5.0,-6.274629309472232
2016-05-16,37.25493265408652,36.63723487792048,37.02329635620117,0.013648420985574622,0.0008987082414230726,-1.0,36.521419525146484,1,36.63723487792048,36.63723487792048,-152.24449205728416,4.0,-4.151306632479475
2016-05-17,38.142878103396214,37.100510266327845,37.98845291137695,0.02573489703676188,0.0003771510276945491,1.0,37.02329635620117,0,0.0,-0.0,-152.24449205728416,4.0,-0.29068041177634996
2016-05-18,37.79541963711711,37.33214409195532,37.44796371459961,-0.014329907752069,-0.00026798483282810544,1.0,37.98845291137695,1,37.79541963711711,-37.79541963711711,-190.03991169440127,5.0,-2.800093121403222
2016-05-19,38.72363063149499,37.97819330500614,38.645164489746094,0.03146932193699563,0.001946904029500978,-1.0,37.44796371459961,1,37.97819330500614,37.97819330500614,-152.06171838939514,4.0,2.518939569589236
2016-05-20,38.56670768331258,38.056668658612246,38.21360397338867,-0.011230079807095514,6.396096968315237e-05,1.0,38.645164489746094,1,38.56670768331258,-38.56670768331258,-190.62842607270773,5.0,0.43959379423563405
2016-05-23,38.13512995585122,37.66432706485721,37.82126235961914,-0.010320136402879859,0.00168932917917179,1.0,38.21360397338867,1,38.13512995585122,-38.13512995585122,-228.76355602855895,6.0,-1.8359818708441082
2016-05-24,38.174369558170504,37.58586439330637,38.05666732788086,0.006204853624563638,0.00011647215952568553,1.0,37.82126235961914,1,37.82126235961914,-37.82126235961914,-266.58481838817806,7.0,-0.18814709301204857
2016-05-25,39.54754447916868,38.8413371518189,39.50830841064453,0.037434694904220876,0.0003088974558889033,1.0,38.05666732788086,0,0.0,-0.0,-266.58481838817806,7.0,9.973340486333655
2016-05-26,39.979119177757546,39.46908015754738,39.90065002441406,0.009881625803002524,-0.0004696175446944669,1.0,39.50830841064453,1,39.50830841064453,-39.50830841064453,-306.0931267988226,8.0,13.112073396489905
2016-05-27,40.13605449115238,39.547549310890865,39.90065002441406,0.0,-0.0005625128470679042,-1.0,39.90065002441406,1,39.90065002441406,39.90065002441406,-266.19247677440853,7.0,13.112073396489905
2016-05-30,40.096809655647476,39.66523988308991,39.86140823364258,-0.000983971446942457,-0.00016597684538839012,-1.0,39.90065002441406,1,39.90065002441406,39.90065002441406,-226.29182674999447,6.0,12.876622651860998
2016-05-31,40.60686289359834,39.62602079471915,40.17529296875,0.007843560256988624,0.0005326832360108975,-1.0,39.86140823364258,1,39.86140823364258,39.86140823364258,-186.4304185163519,5.0,14.446046327398108
2016-06-01,39.90064514955179,39.3121400411909,39.50830841064453,-0.016741214613048772,-0.002235498253100496,1.0,40.17529296875,1,39.90064514955179,-39.90064514955179,-226.33106366590368,6.0,10.718786797963503
2016-06-02,39.86141617839527,39.23367793017095,39.626014709472656,0.0029748503807946695,0.0013780398807284725,-1.0,39.50830841064453,1,39.50830841064453,39.50830841064453,-186.82275525525915,5.0,11.307318292104128
2016-06-03,40.13604572039119,39.66523988308991,39.86140823364258,0.005922803975265427,-0.0014548105341830834,1.0,39.626014709472656,0,0.0,-0.0,-186.82275525525915,5.0,12.484285912953737
2016-06-06,39.62601201789573,38.99827381231021,39.31214141845703,-0.01387523054692029,0.00031152549850760677,-1.0,39.86140823364258,0,0.0,0.0,-186.82275525525915,5.0,9.737951837026003
2016-06-07,40.09681841783457,39.58678239091654,39.90065002441406,0.01485920199386262,-0.0007100684504434411,1.0,39.31214141845703,0,0.0,-0.0,-186.82275525525915,5.0,12.68049486681116
2016-06-08,39.93988533023086,39.50831247836531,39.626014709472656,-0.006906775422207805,-0.001002187844584419,-1.0,39.90065002441406,1,39.90065002441406,39.90065002441406,-146.9221052308451,4.0,11.581953607045534
2016-06-10,39.390622549702734,38.60594880565803,38.72364807128906,-0.02303536499216949,-0.0016298114198259022,-1.0,39.626014709472656,0,0.0,0.0,-146.9221052308451,4.0,7.972487054311159
2016-06-13,37.66433118006024,37.27199439693461,37.58586502075195,-0.029822425270246877,-0.00028109123386785084,-1.0,38.72364807128906,0,0.0,0.0,-146.9221052308451,4.0,3.4213548521627217
2016-06-14,37.82126130726036,37.036587848575664,37.07582092285156,-0.013663019417113629,0.0007692788166981251,-1.0,37.58586502075195,1,37.58586502075195,37.58586502075195,-109.33624021009314,3.0,1.8912225584615499
2016-06-15,37.27199529539453,36.56578787142808,37.154293060302734,0.0021142946567867006,0.0006099471031358062,1.0,37.07582092285156,1,37.07582092285156,-37.07582092285156,-146.4120611329447,4.0,2.2051111082662374
2016-06-16,36.87965839058256,36.33038628397929,36.40885543823242,-0.020267298332135492,-0.0011698241935005464,1.0,37.154293060302734,1,36.87965839058256,-36.87965839058256,-183.29171952352726,5.0,-1.2474423323651536
2016-06-17,37.58587134294491,37.03659915551938,37.42893600463867,0.027632068915566556,0.00037782939209009557,-1.0,36.40885543823242,1,37.03659915551938,37.03659915551938,-146.25512036800788,4.0,3.4606236505468075
2016-06-20,39.03751876622406,38.09590967471186,38.72364807128906,0.034006379447142646,-0.0008721353997208519,1.0,37.42893600463867,0,0.0,-0.0,-146.25512036800788,4.0,8.63947191714837
2016-06-21,39.11597716032724,38.68440728563153,39.076744079589844,0.00907703477860032,-0.0016292369261192694,-1.0,38.72364807128906,1,38.72364807128906,38.72364807128906,-107.53147229671882,3.0,9.698759942050714
2016-06-22,39.54755103542737,39.115978156449096,39.46908187866211,0.00999011869322944,0.00014298137985040024,-1.0,39.076744079589844,1,39.115978156449096,39.115978156449096,-68.41549414026971,2.0,10.522669617054504
2016-06-23,40.13604572039119,39.7829420907381,39.86140823364258,0.009891015495605228,0.00018707401565736935,1.0,39.46908187866211,0,0.0,-0.0,-68.41549414026971,2.0,11.307322327015441
2016-06-24,39.979122965864214,34.917977337402455,37.232765197753906,-0.06821948515330493,0.0016532046294989587,1.0,39.86140823364258,1,39.86140823364258,-39.86140823364258,-108.27690237391229,3.0,3.421393219349426
2016-06-27,37.154291522670995,36.251918733049905,36.60502243041992,-0.017003702633856435,0.0033040995320365455,1.0,37.232765197753906,1,37.154291522670995,-37.154291522670995,-145.4311938965833,4.0,0.9888958250963924
2016-06-28,36.44809043523469,35.54571457027379,36.36962127685547,-0.006451609987217004,0.001917854452311857,1.0,36.60502243041992,1,36.44809043523469,-36.44809043523469,-181.87928433181798,5.0,-0.03117794754064107
2016-06-29,36.95812664679577,36.565789833164004,36.84042739868164,0.012861966923617267,0.001467954033960965,1.0,36.36962127685547,0,0.0,-0.0,-181.87928433181798,5.0,2.3228526615902183
